Row_ID,Order_ID,Order_date,Quarter,Order_date _month,Order_date _day,Order_date _year,Shipping_date,Quarter_SHIPPING,Time_Frame,Ship_Mode,Ship_Mode_Rank,Customer_ID,Customer_Name,Segment,Country,Region,State,City,Postal_Code,Category,Sub_Category,Product_Name,Product_ID,item_price,Quantity,Discount,Sales,Profit
15,US-2015-118983,11/22/2015 0:00,Q4,11,22,2015,11/26/2015 0:00,Q4,4,Standard Class,4,HP-14815,Harold Pawlan,Home Office,United States,Central,Texas,Fort Worth,76106,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",OFF-AP-10002311,68.81,5,0.8,68.81,-123.858
16,US-2015-118983,11/22/2015 0:00,Q4,11,22,2015,11/26/2015 0:00,Q4,4,Standard Class,4,HP-14815,Harold Pawlan,Home Office,United States,Central,Texas,Fort Worth,76106,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,OFF-BI-10000756,4.24,3,0.8,2.544,-3.816
17,CA-2014-105893,11/11/2014 0:00,Q4,11,11,2014,11/18/2014 0:00,Q4,7,Standard Class,4,PK-19075,Pete Kriz,Consumer,United States,Central,Wisconsin,Madison,53711,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",OFF-ST-10004186,110.98,6,0,665.88,13.3176
18,CA-2014-167164,5/13/2014 0:00,Q2,5,13,2014,5/15/2014 0:00,Q2,2,Second Class,3,AG-10270,Alejandro Grove,Consumer,United States,West,Utah,West Jordan,84084,Office Supplies,Storage,Fellowes Super Stor/Drawer,OFF-ST-10000107,27.75,2,0,55.5,9.99
19,CA-2014-143336,8/27/2014 0:00,Q3,8,27,2014,9/1/2014 0:00,Q3,5,Second Class,3,ZD-21925,Zuschuss Donatelli,Consumer,United States,West,California,San Francisco,94109,Office Supplies,Art,Newell 341,OFF-AR-10003056,4.28,2,0,8.56,2.4824
20,CA-2014-143336,8/27/2014 0:00,Q3,8,27,2014,9/1/2014 0:00,Q3,5,Second Class,3,ZD-21925,Zuschuss Donatelli,Consumer,United States,West,California,San Francisco,94109,Technology,Phones,Cisco SPA 501G IP Phone,TEC-PH-10001949,88.95,3,0.2,213.48,16.011
21,CA-2014-143336,8/27/2014 0:00,Q3,8,27,2014,9/1/2014 0:00,Q3,5,Second Class,3,ZD-21925,Zuschuss Donatelli,Consumer,United States,West,California,San Francisco,94109,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",OFF-BI-10002215,7.1,4,0.2,22.72,7.384
22,CA-2016-137330,12/9/2016 0:00,Q4,12,9,2016,12/13/2016 0:00,Q4,4,Standard Class,4,KB-16585,Ken Black,Corporate,United States,Central,Nebraska,Fremont,68025,Office Supplies,Art,Newell 318,OFF-AR-10000246,2.78,7,0,19.46,5.0596
23,CA-2016-137330,12/9/2016 0:00,Q4,12,9,2016,12/13/2016 0:00,Q4,4,Standard Class,4,KB-16585,Ken Black,Corporate,United States,Central,Nebraska,Fremont,68025,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",OFF-AP-10001492,8.62,7,0,60.34,15.6884
24,US-2017-156909,7/16/2017 0:00,Q3,7,16,2017,7/18/2017 0:00,Q3,2,Second Class,3,SF-20065,Sandra Flanagan,Consumer,United States,East,Pennsylvania,Philadelphia,19140,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",FUR-CH-10002774,50.98,2,0.3,71.372,-1.0196
25,CA-2015-106320,9/25/2015 0:00,Q3,9,25,2015,9/30/2015 0:00,Q3,5,Standard Class,4,EB-13870,Emily Burns,Consumer,United States,West,Utah,Orem,84057,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,FUR-TA-10000577,348.21,3,0,1044.63,240.2649
26,CA-2016-121755,1/16/2016 0:00,Q1,1,16,2016,1/20/2016 0:00,Q1,4,Second Class,3,EH-13945,Eric Hoffmann,Consumer,United States,West,California,Los Angeles,90049,Office Supplies,Binders,Wilson Jones Active Use Binders,OFF-BI-10001634,7.28,2,0.2,11.648,4.2224
27,CA-2016-121755,1/16/2016 0:00,Q1,1,16,2016,1/20/2016 0:00,Q1,4,Second Class,3,EH-13945,Eric Hoffmann,Consumer,United States,West,California,Los Angeles,90049,Technology,Accessories,Imation?8GB Mini TravelDrive USB 2.0?Flash Drive,TEC-AC-10003027,30.19,3,0,90.57,11.7741
28,US-2015-150630,9/17/2015 0:00,Q3,9,17,2015,9/21/2015 0:00,Q3,4,Standard Class,4,TB-21520,Tracy Blumstein,Consumer,United States,East,Pennsylvania,Philadelphia,19140,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",FUR-BO-10004834,880.98,7,0.5,3083.43,-1665.0522
29,US-2015-150630,9/17/2015 0:00,Q3,9,17,2015,9/21/2015 0:00,Q3,4,Standard Class,4,TB-21520,Tracy Blumstein,Consumer,United States,East,Pennsylvania,Philadelphia,19140,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,OFF-BI-10000474,16.03,2,0.7,9.618,-7.0532
30,US-2015-150630,9/17/2015 0:00,Q3,9,17,2015,9/21/2015 0:00,Q3,4,Standard Class,4,TB-21520,Tracy Blumstein,Consumer,United States,East,Pennsylvania,Philadelphia,19140,Furniture,Furnishings,DAX Solid Wood Frames,FUR-FU-10004848,51.75,3,0.2,124.2,15.525
31,US-2015-150630,9/17/2015 0:00,Q3,9,17,2015,9/21/2015 0:00,Q3,4,Standard Class,4,TB-21520,Tracy Blumstein,Consumer,United States,East,Pennsylvania,Philadelphia,19140,Office Supplies,Envelopes,Poly String Tie Envelopes,OFF-EN-10001509,2.04,2,0.2,3.264,1.1016
32,US-2015-150630,9/17/2015 0:00,Q3,9,17,2015,9/21/2015 0:00,Q3,4,Standard Class,4,TB-21520,Tracy Blumstein,Consumer,United States,East,Pennsylvania,Philadelphia,19140,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",OFF-AR-10004042,17.98,6,0.2,86.304,9.7092
33,US-2015-150630,9/17/2015 0:00,Q3,9,17,2015,9/21/2015 0:00,Q3,4,Standard Class,4,TB-21520,Tracy Blumstein,Consumer,United States,East,Pennsylvania,Philadelphia,19140,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",OFF-BI-10001525,3.81,6,0.7,6.858,-5.715
34,US-2015-150630,9/17/2015 0:00,Q3,9,17,2015,9/21/2015 0:00,Q3,4,Standard Class,4,TB-21520,Tracy Blumstein,Consumer,United States,East,Pennsylvania,Philadelphia,19140,Office Supplies,Art,Lumber Crayons,OFF-AR-10001683,9.85,2,0.2,15.76,3.546
35,CA-2017-107727,10/19/2017 0:00,Q4,10,19,2017,10/23/2017 0:00,Q4,4,Second Class,3,MA-17560,Matt Abelman,Home Office,United States,Central,Texas,Houston,77095,Office Supplies,Paper,Easy-staple paper,OFF-PA-10000249,12.28,3,0.2,29.472,9.9468
36,CA-2016-117590,12/8/2016 0:00,Q4,12,8,2016,12/10/2016 0:00,Q4,2,First Class,2,GH-14485,Gene Hale,Corporate,United States,Central,Texas,Richardson,75080,Technology,Phones,GE 30524EE4,TEC-PH-10004977,195.99,7,0.2,1097.544,123.4737
37,CA-2016-117590,12/8/2016 0:00,Q4,12,8,2016,12/10/2016 0:00,Q4,2,First Class,2,GH-14485,Gene Hale,Corporate,United States,Central,Texas,Richardson,75080,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",FUR-FU-10003664,95.46,5,0.6,190.92,-147.963
38,CA-2015-117415,12/27/2015 0:00,Q4,12,27,2015,12/31/2015 0:00,Q4,4,Standard Class,4,SN-20710,Steve Nguyen,Home Office,United States,Central,Texas,Houston,77041,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",OFF-EN-10002986,15.74,9,0.2,113.328,35.415
39,CA-2015-117415,12/27/2015 0:00,Q4,12,27,2015,12/31/2015 0:00,Q4,4,Standard Class,4,SN-20710,Steve Nguyen,Home Office,United States,Central,Texas,Houston,77041,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",FUR-BO-10002545,260.98,3,0.32,532.3992,-46.9764
40,CA-2015-117415,12/27/2015 0:00,Q4,12,27,2015,12/31/2015 0:00,Q4,4,Standard Class,4,SN-20710,Steve Nguyen,Home Office,United States,Central,Texas,Houston,77041,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",FUR-CH-10004218,100.98,3,0.3,212.058,-15.147
41,CA-2015-117415,12/27/2015 0:00,Q4,12,27,2015,12/31/2015 0:00,Q4,4,Standard Class,4,SN-20710,Steve Nguyen,Home Office,United States,Central,Texas,Houston,77041,Technology,Phones,Plantronics HL10 Handset Lifter,TEC-PH-10000486,115.99,4,0.2,371.168,41.7564
42,CA-2017-120999,9/10/2017 0:00,Q3,9,10,2017,9/15/2017 0:00,Q3,5,Standard Class,4,LC-16930,Linda Cazamias,Corporate,United States,Central,Illinois,Naperville,60540,Technology,Phones,Panasonic Kx-TS550,TEC-PH-10004093,45.99,4,0.2,147.168,16.5564
43,CA-2016-101343,7/17/2016 0:00,Q3,7,17,2016,7/22/2016 0:00,Q3,5,Standard Class,4,RA-19885,Ruben Ausman,Corporate,United States,West,California,Los Angeles,90049,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",OFF-ST-10003479,38.94,2,0,77.88,3.894
44,CA-2017-139619,9/19/2017 0:00,Q3,9,19,2017,9/23/2017 0:00,Q3,4,Standard Class,4,ES-14080,Erin Smith,Corporate,United States,South,Florida,Melbourne,32935,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",OFF-ST-10003282,59.76,2,0.2,95.616,9.5616
45,CA-2016-118255,3/11/2016 0:00,Q1,3,11,2016,3/13/2016 0:00,Q1,2,First Class,2,ON-18715,Odella Nelson,Corporate,United States,Central,Minnesota,Eagan,55122,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",TEC-AC-10000171,22.99,2,0,45.98,19.7714
46,CA-2016-118255,3/11/2016 0:00,Q1,3,11,2016,3/13/2016 0:00,Q1,2,First Class,2,ON-18715,Odella Nelson,Corporate,United States,Central,Minnesota,Eagan,55122,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,OFF-BI-10003291,8.73,2,0,17.46,8.2062
47,CA-2014-146703,10/20/2014 0:00,Q4,10,20,2014,10/25/2014 0:00,Q4,5,Second Class,3,PO-18865,Patrick O'Donnell,Consumer,United States,Central,Michigan,Westland,48185,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",OFF-ST-10001713,52.99,4,0,211.96,8.4784
48,CA-2016-169194,6/20/2016 0:00,Q2,6,20,2016,6/25/2016 0:00,Q2,5,Standard Class,4,LH-16900,Lena Hernandez,Consumer,United States,East,Delaware,Dover,19901,Technology,Accessories,Imation?8gb Micro Traveldrive Usb 2.0?Flash Drive,TEC-AC-10002167,15,3,0,45,4.95
49,CA-2016-169194,6/20/2016 0:00,Q2,6,20,2016,6/25/2016 0:00,Q2,5,Standard Class,4,LH-16900,Lena Hernandez,Consumer,United States,East,Delaware,Dover,19901,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",TEC-PH-10003988,10.9,2,0,21.8,6.104
50,CA-2015-115742,4/18/2015 0:00,Q2,4,18,2015,4/22/2015 0:00,Q2,4,Standard Class,4,DP-13000,Darren Powers,Consumer,United States,Central,Indiana,New Albany,47150,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",OFF-BI-10004410,6.37,6,0,38.22,17.9634
51,CA-2015-115742,4/18/2015 0:00,Q2,4,18,2015,4/22/2015 0:00,Q2,4,Standard Class,4,DP-13000,Darren Powers,Consumer,United States,Central,Indiana,New Albany,47150,Office Supplies,Labels,Avery 485,OFF-LA-10002762,12.53,6,0,75.18,35.3346
52,CA-2015-115742,4/18/2015 0:00,Q2,4,18,2015,4/22/2015 0:00,Q2,4,Standard Class,4,DP-13000,Darren Powers,Consumer,United States,Central,Indiana,New Albany,47150,Furniture,Furnishings,Longer-Life Soft White Bulbs,FUR-FU-10001706,3.08,2,0,6.16,2.9568
53,CA-2015-115742,4/18/2015 0:00,Q2,4,18,2015,4/22/2015 0:00,Q2,4,Standard Class,4,DP-13000,Darren Powers,Consumer,United States,Central,Indiana,New Albany,47150,Furniture,Chairs,"Global Leather Task Chair, Black",FUR-CH-10003061,89.99,1,0,89.99,17.0981
54,CA-2016-105816,12/11/2016 0:00,Q4,12,11,2016,12/17/2016 0:00,Q4,6,Standard Class,4,JM-15265,Janet Molinari,Corporate,United States,East,New York,New York City,10024,Office Supplies,Fasteners,Advantus Push Pins,OFF-FA-10000304,2.18,7,0,15.26,6.2566
55,CA-2016-105816,12/11/2016 0:00,Q4,12,11,2016,12/17/2016 0:00,Q4,6,Standard Class,4,JM-15265,Janet Molinari,Corporate,United States,East,New York,New York City,10024,Technology,Phones,AT&T CL83451 4-Handset Telephone,TEC-PH-10002447,205.99,5,0,1029.95,298.6855
56,CA-2016-111682,6/17/2016 0:00,Q2,6,17,2016,6/18/2016 0:00,Q2,1,First Class,2,TB-21055,Ted Butterfield,Consumer,United States,East,New York,Troy,12180,Office Supplies,Storage,Home/Office Personal File Carts,OFF-ST-10000604,34.76,6,0,208.56,52.14
57,CA-2016-111682,6/17/2016 0:00,Q2,6,17,2016,6/18/2016 0:00,Q2,1,First Class,2,TB-21055,Ted Butterfield,Consumer,United States,East,New York,Troy,12180,Office Supplies,Paper,Xerox 232,OFF-PA-10001569,6.48,5,0,32.4,15.552
58,CA-2016-111682,6/17/2016 0:00,Q2,6,17,2016,6/18/2016 0:00,Q2,1,First Class,2,TB-21055,Ted Butterfield,Consumer,United States,East,New York,Troy,12180,Furniture,Chairs,Novimex Turbo Task Chair,FUR-CH-10003968,70.98,5,0.1,319.41,7.098
59,CA-2016-111682,6/17/2016 0:00,Q2,6,17,2016,6/18/2016 0:00,Q2,1,First Class,2,TB-21055,Ted Butterfield,Consumer,United States,East,New York,Troy,12180,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",OFF-PA-10000587,7.28,2,0,14.56,6.9888
60,CA-2016-111682,6/17/2016 0:00,Q2,6,17,2016,6/18/2016 0:00,Q2,1,First Class,2,TB-21055,Ted Butterfield,Consumer,United States,East,New York,Troy,12180,Technology,Accessories,Imation?8gb Micro Traveldrive Usb 2.0?Flash Drive,TEC-AC-10002167,15,2,0,30,3.3
61,CA-2016-111682,6/17/2016 0:00,Q2,6,17,2016,6/18/2016 0:00,Q2,1,First Class,2,TB-21055,Ted Butterfield,Consumer,United States,East,New York,Troy,12180,Office Supplies,Binders,Plastic Binding Combs,OFF-BI-10001460,15.15,4,0.2,48.48,16.362
62,CA-2016-111682,6/17/2016 0:00,Q2,6,17,2016,6/18/2016 0:00,Q2,1,First Class,2,TB-21055,Ted Butterfield,Consumer,United States,East,New York,Troy,12180,Office Supplies,Art,Prang Dustless Chalk Sticks,OFF-AR-10001868,1.68,1,0,1.68,0.84
63,CA-2015-135545,11/24/2015 0:00,Q4,11,24,2015,11/30/2015 0:00,Q4,6,Standard Class,4,KM-16720,Kunst Miller,Consumer,United States,West,California,Los Angeles,90004,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",TEC-AC-10004633,6.99,2,0,13.98,6.1512
64,CA-2015-135545,11/24/2015 0:00,Q4,11,24,2015,11/30/2015 0:00,Q4,6,Standard Class,4,KM-16720,Kunst Miller,Consumer,United States,West,California,Los Angeles,90004,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",OFF-BI-10001078,5.38,6,0.2,25.824,9.3612
65,CA-2015-135545,11/24/2015 0:00,Q4,11,24,2015,11/30/2015 0:00,Q4,6,Standard Class,4,KM-16720,Kunst Miller,Consumer,United States,West,California,Los Angeles,90004,Office Supplies,Paper,Xerox 1943,OFF-PA-10003892,48.91,3,0,146.73,68.9631
66,CA-2015-135545,11/24/2015 0:00,Q4,11,24,2015,11/30/2015 0:00,Q4,6,Standard Class,4,KM-16720,Kunst Miller,Consumer,United States,West,California,Los Angeles,90004,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,FUR-FU-10000397,19.94,4,0,79.76,22.3328
67,US-2015-164175,4/30/2015 0:00,Q2,4,30,2015,5/5/2015 0:00,Q2,5,Standard Class,4,PS-18970,Paul Stevenson,Home Office,United States,Central,Illinois,Chicago,60610,Furniture,Chairs,"Global Task Chair, Black",FUR-CH-10001146,60.89,5,0.3,213.115,-15.2225
68,CA-2014-106376,12/5/2014 0:00,Q4,12,5,2014,12/10/2014 0:00,Q4,5,Standard Class,4,BS-11590,Brendan Sweed,Corporate,United States,West,Arizona,Gilbert,85234,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",OFF-AR-10002671,173.91,8,0.2,1113.024,111.3024
69,CA-2014-106376,12/5/2014 0:00,Q4,12,5,2014,12/10/2014 0:00,Q4,5,Standard Class,4,BS-11590,Brendan Sweed,Corporate,United States,West,Arizona,Gilbert,85234,Technology,Phones,netTALK DUO VoIP Telephone Service,TEC-PH-10002726,52.49,4,0.2,167.968,62.988
70,CA-2016-119823,6/4/2016 0:00,Q2,6,4,2016,6/6/2016 0:00,Q2,2,First Class,2,KD-16270,Karen Daniels,Consumer,United States,South,Virginia,Springfield,22153,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",OFF-PA-10000482,37.94,2,0,75.88,35.6636
71,CA-2016-106075,9/18/2016 0:00,Q3,9,18,2016,9/23/2016 0:00,Q3,5,Standard Class,4,HM-14980,Henry MacAllister,Consumer,United States,East,New York,New York City,10009,Office Supplies,Binders,VariCap6 Expandable Binder,OFF-BI-10004654,5.77,1,0.2,4.616,1.731
72,CA-2017-114440,9/14/2017 0:00,Q3,9,14,2017,9/17/2017 0:00,Q3,3,Second Class,3,TB-21520,Tracy Blumstein,Consumer,United States,Central,Michigan,Jackson,49201,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",OFF-PA-10004675,6.35,3,0,19.05,8.763
73,US-2015-134026,4/26/2015 0:00,Q2,4,26,2015,5/2/2015 0:00,Q2,6,Standard Class,4,JE-15745,Joel Eaton,Consumer,United States,South,Tennessee,Memphis,38109,Furniture,Chairs,High-Back Leather Manager's Chair,FUR-CH-10000513,129.99,8,0.2,831.936,-114.3912
74,US-2015-134026,4/26/2015 0:00,Q2,4,26,2015,5/2/2015 0:00,Q2,6,Standard Class,4,JE-15745,Joel Eaton,Consumer,United States,South,Tennessee,Memphis,38109,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",FUR-FU-10003708,60.65,2,0.2,97.04,1.213
75,US-2015-134026,4/26/2015 0:00,Q2,4,26,2015,5/2/2015 0:00,Q2,6,Standard Class,4,JE-15745,Joel Eaton,Consumer,United States,South,Tennessee,Memphis,38109,Office Supplies,Storage,Safco Industrial Wire Shelving System,OFF-ST-10004123,90.98,1,0.2,72.784,-18.196
76,US-2017-118038,12/9/2017 0:00,Q4,12,9,2017,12/11/2017 0:00,Q4,2,First Class,2,KB-16600,Ken Brennan,Corporate,United States,Central,Texas,Houston,77041,Office Supplies,Binders,Economy Binders,OFF-BI-10004182,2.08,3,0.8,1.248,-1.9344
77,US-2017-118038,12/9/2017 0:00,Q4,12,9,2017,12/11/2017 0:00,Q4,2,First Class,2,KB-16600,Ken Brennan,Corporate,United States,Central,Texas,Houston,77041,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",FUR-FU-10000260,8.09,3,0.6,9.708,-5.8248
78,US-2017-118038,12/9/2017 0:00,Q4,12,9,2017,12/11/2017 0:00,Q4,2,First Class,2,KB-16600,Ken Brennan,Corporate,United States,Central,Texas,Houston,77041,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",OFF-ST-10000615,11.35,3,0.2,27.24,2.724
79,US-2014-147606,11/26/2014 0:00,Q4,11,26,2014,12/1/2014 0:00,Q4,5,Second Class,3,JE-15745,Joel Eaton,Consumer,United States,Central,Texas,Houston,77070,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",FUR-FU-10003194,9.65,5,0.6,19.3,-14.475
80,CA-2016-127208,6/12/2016 0:00,Q2,6,12,2016,6/15/2016 0:00,Q2,3,First Class,2,SC-20770,Stewart Carmichael,Corporate,United States,South,Alabama,Decatur,35601,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",OFF-AP-10002118,208.16,1,0,208.16,56.2032
81,CA-2016-127208,6/12/2016 0:00,Q2,6,12,2016,6/15/2016 0:00,Q2,3,First Class,2,SC-20770,Stewart Carmichael,Corporate,United States,South,Alabama,Decatur,35601,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,OFF-BI-10002309,5.58,3,0,16.74,8.0352
82,CA-2014-139451,10/12/2014 0:00,Q4,10,12,2014,10/16/2014 0:00,Q4,4,Standard Class,4,DN-13690,Duane Noonan,Consumer,United States,West,California,San Francisco,94122,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",OFF-AR-10002053,2.98,5,0,14.9,4.172
83,CA-2014-139451,10/12/2014 0:00,Q4,10,12,2014,10/16/2014 0:00,Q4,4,Standard Class,4,DN-13690,Duane Noonan,Consumer,United States,West,California,San Francisco,94122,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",OFF-ST-10002370,21.39,1,0,21.39,6.2031
84,CA-2015-149734,9/3/2015 0:00,Q3,9,3,2015,9/8/2015 0:00,Q3,5,Standard Class,4,JC-16105,Julie Creighton,Corporate,United States,South,North Carolina,Durham,27707,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,OFF-EN-10000927,35.89,7,0.2,200.984,62.8075
85,US-2017-119662,11/13/2017 0:00,Q4,11,13,2017,11/16/2017 0:00,Q4,3,First Class,2,CS-12400,Christopher Schild,Home Office,United States,Central,Illinois,Chicago,60623,Office Supplies,Storage,Safco Industrial Wire Shelving,OFF-ST-10003656,95.99,3,0.2,230.376,-48.9549
86,CA-2017-140088,5/28/2017 0:00,Q2,5,28,2017,5/30/2017 0:00,Q2,2,Second Class,3,PO-18865,Patrick O'Donnell,Consumer,United States,South,South Carolina,Columbia,29203,Furniture,Chairs,Novimex Swivel Fabric Task Chair,FUR-CH-10000863,150.98,2,0,301.96,33.2156
